surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.245,0.0,2.617,True
wing,TE,0,0.635,0.0,0.0,0.245,0.0,2.617,True
wing,LE,1,0.410271,0.288449,0.013182,0.224729,0.28875,2.617,True
wing,TE,1,0.635,0.288449,0.013182,0.224729,0.28875,2.617,True
wing,LE,2,0.438012,0.576898,0.026365,0.196988,0.5775,2.617,True
wing,TE,2,0.635,0.576898,0.026365,0.196988,0.5775,2.617,True
wing,LE,3,0.473975,0.875339,0.040004,0.161025,0.876253,2.617,True
wing,TE,3,0.635,0.875339,0.040004,0.161025,0.876253,2.617,True
wing,LE,4,0.495021,0.998957,0.045653,0.139979,1.0,,True
wing,TE,4,0.635,0.998957,0.045653,0.139979,1.0,,True
vtail,LE,0,1.338492,0.0,0.0,0.094856,0.0,54.685,True
vtail,TE,0,1.433348,0.0,0.0,0.094856,0.0,54.685,True
vtail,LE,1,1.341566,0.126919,0.179154,0.091782,0.219555,,True
vtail,TE,1,1.433348,0.126919,0.179154,0.091782,0.219555,,True
