surface,station,airfoil,point,x_m,y_m,z_m
wing,0,sd7037,0,0.641078,0.0,0.0
wing,0,sd7037,1,0.640255,-4e-06,0.000105
wing,0,sd7037,2,0.637832,-1.7e-05,0.000452
wing,0,sd7037,3,0.633912,-4.1e-05,0.001094
wing,0,sd7037,4,0.628627,-7.6e-05,0.002035
wing,0,sd7037,5,0.622122,-0.000121,0.003249
wing,0,sd7037,6,0.614527,-0.000174,0.004679
wing,0,sd7037,7,0.605965,-0.000232,0.006248
wing,0,sd7037,8,0.596539,-0.000292,0.007881
wing,0,sd7037,9,0.586346,-0.000353,0.009504
wing,0,sd7037,10,0.575459,-0.000411,0.011072
wing,0,sd7037,11,0.563982,-0.000467,0.012573
wing,0,sd7037,12,0.552043,-0.000519,0.01398
wing,0,sd7037,13,0.539781,-0.000567,0.015268
wing,0,sd7037,14,0.527322,-0.000609,0.016404
wing,0,sd7037,15,0.514801,-0.000644,0.017355
wing,0,sd7037,16,0.502345,-0.000671,0.018093
wing,0,sd7037,17,0.490085,-0.00069,0.018592
wing,0,sd7037,18,0.478131,-0.000699,0.018828
wing,0,sd7037,19,0.466599,-0.000697,0.018788
wing,0,sd7037,20,0.455594,-0.000685,0.018462
wing,0,sd7037,21,0.44521,-0.000662,0.017847
wing,0,sd7037,22,0.435538,-0.000629,0.016946
wing,0,sd7037,23,0.42666,-0.000585,0.015772
wing,0,sd7037,24,0.418648,-0.000532,0.014339
wing,0,sd7037,25,0.411558,-0.00047,0.012668
wing,0,sd7037,26,0.405431,-0.0004,0.010789
wing,0,sd7037,27,0.400299,-0.000325,0.008747
wing,0,sd7037,28,0.396182,-0.000245,0.006604
wing,0,sd7037,29,0.393093,-0.000165,0.004441
wing,0,sd7037,30,0.39105,-8.7e-05,0.002348
wing,0,sd7037,31,0.390053,-1.7e-05,0.000464
wing,0,sd7037,32,0.390319,3.7e-05,-0.000986
wing,0,sd7037,33,0.392024,7.8e-05,-0.002105
wing,0,sd7037,34,0.395117,0.000114,-0.003079
wing,0,sd7037,35,0.399541,0.000143,-0.003866
wing,0,sd7037,36,0.40525,0.000165,-0.004459
wing,0,sd7037,37,0.412205,0.00018,-0.004853
wing,0,sd7037,38,0.42034,0.000188,-0.005061
wing,0,sd7037,39,0.429582,0.000189,-0.005098
wing,0,sd7037,40,0.439839,0.000185,-0.004985
wing,0,sd7037,41,0.451002,0.000176,-0.004745
wing,0,sd7037,42,0.462951,0.000163,-0.004401
wing,0,sd7037,43,0.475545,0.000148,-0.003979
wing,0,sd7037,44,0.488644,0.00013,-0.003503
wing,0,sd7037,45,0.502089,0.000111,-0.002986
wing,0,sd7037,46,0.515725,9.1e-05,-0.002449
wing,0,sd7037,47,0.529396,7.1e-05,-0.001907
wing,0,sd7037,48,0.542942,5.1e-05,-0.001377
wing,0,sd7037,49,0.556206,3.2e-05,-0.000876
wing,0,sd7037,50,0.569031,1.6e-05,-0.000422
wing,0,sd7037,51,0.581266,1e-06,-3.5e-05
wing,0,sd7037,52,0.592751,-1e-05,0.000261
wing,0,sd7037,53,0.603326,-1.7e-05,0.000457
wing,0,sd7037,54,0.612847,-2e-05,0.000552
wing,0,sd7037,55,0.62117,-2e-05,0.000547
wing,0,sd7037,56,0.62817,-1.7e-05,0.000464
wing,0,sd7037,57,0.633739,-1.2e-05,0.000331
wing,0,sd7037,58,0.637789,-7e-06,0.000178
wing,0,sd7037,59,0.640252,-2e-06,5.3e-05
wing,0,sd7037,60,0.641078,0.0,0.0
wing,1,sd7037,0,0.641078,0.288551,0.010708
wing,1,sd7037,1,0.640331,0.288548,0.010804
wing,1,sd7037,2,0.638131,0.288536,0.011118
wing,1,sd7037,3,0.634573,0.288515,0.011701
wing,1,sd7037,4,0.629775,0.288483,0.012555
wing,1,sd7037,5,0.623869,0.288442,0.013658
wing,1,sd7037,6,0.616973,0.288394,0.014956
wing,1,sd7037,7,0.6092,0.288341,0.01638
wing,1,sd7037,8,0.600643,0.288286,0.017863
wing,1,sd7037,9,0.591389,0.288231,0.019337
wing,1,sd7037,10,0.581505,0.288178,0.02076
wing,1,sd7037,11,0.571086,0.288128,0.022122
wing,1,sd7037,12,0.560248,0.28808,0.0234
wing,1,sd7037,13,0.549115,0.288037,0.024569
wing,1,sd7037,14,0.537804,0.287999,0.025601
wing,1,sd7037,15,0.526437,0.287967,0.026464
wing,1,sd7037,16,0.515129,0.287942,0.027134
wing,1,sd7037,17,0.503998,0.287925,0.027587
wing,1,sd7037,18,0.493146,0.287917,0.027801
wing,1,sd7037,19,0.482677,0.287919,0.027765
wing,1,sd7037,20,0.472686,0.28793,0.027468
wing,1,sd7037,21,0.463258,0.28795,0.02691
wing,1,sd7037,22,0.454478,0.287981,0.026093
wing,1,sd7037,23,0.446418,0.28802,0.025027
wing,1,sd7037,24,0.439144,0.288068,0.023726
wing,1,sd7037,25,0.432707,0.288125,0.022209
wing,1,sd7037,26,0.427145,0.288188,0.020503
wing,1,sd7037,27,0.422486,0.288257,0.018649
wing,1,sd7037,28,0.418748,0.288329,0.016703
wing,1,sd7037,29,0.415944,0.288402,0.01474
wing,1,sd7037,30,0.414089,0.288472,0.01284
wing,1,sd7037,31,0.413184,0.288536,0.011129
wing,1,sd7037,32,0.413425,0.288585,0.009813
wing,1,sd7037,33,0.414973,0.288622,0.008797
wing,1,sd7037,34,0.417781,0.288655,0.007913
wing,1,sd7037,35,0.421798,0.288682,0.007198
wing,1,sd7037,36,0.426981,0.288702,0.00666
wing,1,sd7037,37,0.433295,0.288715,0.006303
wing,1,sd7037,38,0.44068,0.288722,0.006114
wing,1,sd7037,39,0.449071,0.288723,0.006079
wing,1,sd7037,40,0.458382,0.288719,0.006182
wing,1,sd7037,41,0.468517,0.288711,0.006401
wing,1,sd7037,42,0.479365,0.2887,0.006713
wing,1,sd7037,43,0.490798,0.288686,0.007095
wing,1,sd7037,44,0.50269,0.288669,0.007528
