surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.251078,0.0,2.125,True
wing,TE,0,0.641078,0.0,0.0,0.251078,0.0,2.125,True
wing,LE,1,0.413136,0.288551,0.010708,0.227942,0.28875,2.125,True
wing,TE,1,0.641078,0.288551,0.010708,0.227942,0.28875,2.125,True
wing,LE,2,0.443115,0.577103,0.021416,0.197963,0.5775,2.125,True
wing,TE,2,0.641078,0.577103,0.021416,0.197963,0.5775,2.125,True
wing,LE,3,0.480494,0.87565,0.032495,0.160584,0.876253,2.125,True
wing,TE,3,0.641078,0.87565,0.032495,0.160584,0.876253,2.125,True
wing,LE,4,0.5011,0.999312,0.037084,0.139979,1.0,,True
wing,TE,4,0.641078,0.999312,0.037084,0.139979,1.0,,True
vtail,LE,0,1.403953,0.0,0.0,0.093604,0.0,54.099,True
vtail,TE,0,1.497557,0.0,0.0,0.093604,0.0,54.099,True
vtail,LE,1,1.404523,0.123583,0.170716,0.093034,0.210753,,True
vtail,TE,1,1.497557,0.123583,0.170716,0.093034,0.210753,,True
