surface,station,airfoil,point,x_m,y_m,z_m
wing,0,sd7037,0,0.607418,0.0,0.0
wing,0,sd7037,1,0.606705,-3e-06,9.1e-05
wing,0,sd7037,2,0.604607,-1.4e-05,0.000391
wing,0,sd7037,3,0.601213,-3.3e-05,0.000947
wing,0,sd7037,4,0.596636,-6.2e-05,0.001762
wing,0,sd7037,5,0.591003,-9.8e-05,0.002814
wing,0,sd7037,6,0.584426,-0.000142,0.004052
wing,0,sd7037,7,0.577012,-0.000189,0.00541
wing,0,sd7037,8,0.56885,-0.000239,0.006825
wing,0,sd7037,9,0.560023,-0.000288,0.008231
wing,0,sd7037,10,0.550596,-0.000335,0.009589
wing,0,sd7037,11,0.540658,-0.000381,0.010888
wing,0,sd7037,12,0.53032,-0.000423,0.012107
wing,0,sd7037,13,0.519701,-0.000462,0.013222
wing,0,sd7037,14,0.508913,-0.000496,0.014206
wing,0,sd7037,15,0.49807,-0.000525,0.01503
wing,0,sd7037,16,0.487284,-0.000548,0.015668
wing,0,sd7037,17,0.476667,-0.000563,0.016101
wing,0,sd7037,18,0.466316,-0.00057,0.016305
wing,0,sd7037,19,0.45633,-0.000569,0.01627
wing,0,sd7037,20,0.446801,-0.000559,0.015988
wing,0,sd7037,21,0.437808,-0.00054,0.015456
wing,0,sd7037,22,0.429433,-0.000513,0.014675
wing,0,sd7037,23,0.421745,-0.000477,0.013659
wing,0,sd7037,24,0.414807,-0.000434,0.012418
wing,0,sd7037,25,0.408668,-0.000383,0.010971
wing,0,sd7037,26,0.403363,-0.000327,0.009343
wing,0,sd7037,27,0.398918,-0.000265,0.007575
wing,0,sd7037,28,0.395353,-0.0002,0.005719
wing,0,sd7037,29,0.392679,-0.000134,0.003846
wing,0,sd7037,30,0.390909,-7.1e-05,0.002034
wing,0,sd7037,31,0.390046,-1.4e-05,0.000402
wing,0,sd7037,32,0.390276,3e-05,-0.000854
wing,0,sd7037,33,0.391752,6.4e-05,-0.001823
wing,0,sd7037,34,0.394431,9.3e-05,-0.002666
wing,0,sd7037,35,0.398262,0.000117,-0.003348
wing,0,sd7037,36,0.403206,0.000135,-0.003861
wing,0,sd7037,37,0.409228,0.000147,-0.004202
wing,0,sd7037,38,0.416273,0.000153,-0.004383
wing,0,sd7037,39,0.424276,0.000154,-0.004415
wing,0,sd7037,40,0.433158,0.000151,-0.004317
wing,0,sd7037,41,0.442824,0.000144,-0.004109
wing,0,sd7037,42,0.453171,0.000133,-0.003811
wing,0,sd7037,43,0.464077,0.00012,-0.003446
wing,0,sd7037,44,0.475419,0.000106,-0.003033
wing,0,sd7037,45,0.487062,9e-05,-0.002586
wing,0,sd7037,46,0.49887,7.4e-05,-0.002121
wing,0,sd7037,47,0.510708,5.8e-05,-0.001651
wing,0,sd7037,48,0.522438,4.2e-05,-0.001193
wing,0,sd7037,49,0.533924,2.7e-05,-0.000758
wing,0,sd7037,50,0.54503,1.3e-05,-0.000365
wing,0,sd7037,51,0.555625,1e-06,-3e-05
wing,0,sd7037,52,0.56557,-8e-06,0.000226
wing,0,sd7037,53,0.574727,-1.4e-05,0.000395
wing,0,sd7037,54,0.582972,-1.7e-05,0.000478
wing,0,sd7037,55,0.590179,-1.7e-05,0.000474
wing,0,sd7037,56,0.596241,-1.4e-05,0.000402
wing,0,sd7037,57,0.601063,-1e-05,0.000287
wing,0,sd7037,58,0.60457,-5e-06,0.000154
wing,0,sd7037,59,0.606703,-2e-06,4.6e-05
wing,0,sd7037,60,0.607418,0.0,0.0
wing,1,sd7037,0,0.607418,0.28857,0.010198
wing,1,sd7037,1,0.606764,0.288567,0.010281
wing,1,sd7037,2,0.604838,0.288557,0.010555
wing,1,sd7037,3,0.601724,0.28854,0.011064
wing,1,sd7037,4,0.597524,0.288514,0.011809
wing,1,sd7037,5,0.592354,0.28848,0.012771
wing,1,sd7037,6,0.586318,0.28844,0.013904
wing,1,sd7037,7,0.579514,0.288397,0.015147
wing,1,sd7037,8,0.572024,0.288352,0.016441
wing,1,sd7037,9,0.563923,0.288307,0.017726
wing,1,sd7037,10,0.555272,0.288263,0.018967
wing,1,sd7037,11,0.546152,0.288222,0.020155
wing,1,sd7037,12,0.536664,0.288183,0.021268
wing,1,sd7037,13,0.52692,0.288148,0.022285
wing,1,sd7037,14,0.51702,0.288116,0.023183
wing,1,sd7037,15,0.50707,0.28809,0.023933
wing,1,sd7037,16,0.497172,0.28807,0.024513
wing,1,sd7037,17,0.48743,0.288056,0.024905
wing,1,sd7037,18,0.477931,0.28805,0.025087
wing,1,sd7037,19,0.468768,0.288051,0.02505
wing,1,sd7037,20,0.460023,0.28806,0.024786
wing,1,sd7037,21,0.451772,0.288077,0.024292
wing,1,sd7037,22,0.444087,0.288103,0.023572
wing,1,sd7037,23,0.437033,0.288135,0.022635
wing,1,sd7037,24,0.430668,0.288175,0.021493
wing,1,sd7037,25,0.425034,0.288222,0.020162
wing,1,sd7037,26,0.420167,0.288274,0.018666
wing,1,sd7037,27,0.41609,0.288331,0.017041
wing,1,sd7037,28,0.412819,0.28839,0.015336
wing,1,sd7037,29,0.410366,0.288451,0.013616
wing,1,sd7037,30,0.408743,0.288509,0.011952
wing,1,sd7037,31,0.407952,0.288561,0.010454
wing,1,sd7037,32,0.408164,0.288601,0.009302
wing,1,sd7037,33,0.409519,0.288632,0.008413
wing,1,sd7037,34,0.411977,0.288659,0.007641
wing,1,sd7037,35,0.415493,0.288681,0.007017
wing,1,sd7037,36,0.42003,0.288698,0.006549
wing,1,sd7037,37,0.425557,0.288708,0.006239
wing,1,sd7037,38,0.432021,0.288714,0.006077
wing,1,sd7037,39,0.439365,0.288715,0.006052
wing,1,sd7037,40,0.447515,0.288712,0.006146
wing,1,sd7037,41,0.456385,0.288705,0.006342
wing,1,sd7037,42,0.465879,0.288695,0.006621
wing,1,sd7037,43,0.475886,0.288683,0.006961
wing,1,sd7037,44,0.486294,0.28867,0.007346
wing,1,sd7037,45,0.496978,0.288655,0.007763
wing,1,sd7037,46,0.507813,0.28864,0.008196
wing,1,sd7037,47,0.518676,0.288625,0.008632
wing,1,sd7037,48,0.529439,0.28861,0.009059
wing,1,sd7037,49,0.539979,0.288596,0.009464
wing,1,sd7037,50,0.550169,0.288583,0.009831
wing,1,sd7037,51,0.559891,0.288572,0.010143
wing,1,sd7037,52,0.569017,0.288563,0.010384
wing,1,sd7037,53,0.57742,0.288558,0.010544
wing,1,sd7037,54,0.584985,0.288555,0.010624
wing,1,sd7037,55,0.591599,0.288555,0.010624
wing,1,sd7037,56,0.597161,0.288557,0.010561
wing,1,sd7037,57,0.601586,0.288561,0.010458
wing,1,sd7037,58,0.604805,0.288565,0.010338
wing,1,sd7037,59,0.606762,0.288569,0.010239
wing,1,sd7037,60,0.607418,0.28857,0.010198
wing,2,sd7037,0,0.607418,0.577141,0.020375
wing,2,sd7037,1,0.606822,0.577138,0.020451
wing,2,sd7037,2,0.60507,0.577129,0.020699
wing,2,sd7037,3,0.602234,0.577113,0.021161
wing,2,sd7037,4,0.598411,0.57709,0.021837
wing,2,sd7037,5,0.593705,0.577059,0.02271
wing,2,sd7037,6,0.58821,0.577023,0.023738
wing,2,sd7037,7,0.582017,0.576984,0.024866
wing,2,sd7037,8,0.575198,0.576943,0.02604
wing,2,sd7037,9,0.567824,0.576902,0.027206
wing,2,sd7037,10,0.559948,0.576863,0.028331
wing,2,sd7037,11,0.551646,0.576825,0.029407
wing,2,sd7037,12,0.54301,0.57679,0.030415
wing,2,sd7037,13,0.53414,0.576758,0.031336
wing,2,sd7037,14,0.525128,0.576729,0.032148
wing,2,sd7037,15,0.516071,0.576706,0.032826
wing,2,sd7037,16,0.507061,0.576687,0.033349
wing,2,sd7037,17,0.498194,0.576675,0.033701
wing,2,sd7037,18,0.489547,0.576669,0.033861
wing,2,sd7037,19,0.481207,0.576671,0.033823
wing,2,sd7037,20,0.473248,0.576679,0.033578
wing,2,sd7037,21,0.465737,0.576695,0.033125
wing,2,sd7037,22,0.458743,0.576718,0.032466
wing,2,sd7037,23,0.452322,0.576748,0.031609
wing,2,sd7037,24,0.446529,0.576785,0.030566
wing,2,sd7037,25,0.441402,0.576827,0.029352
wing,2,sd7037,26,0.436972,0.576875,0.027987
wing,2,sd7037,27,0.433262,0.576926,0.026506
wing,2,sd7037,28,0.430286,0.576981,0.024953
wing,2,sd7037,29,0.428054,0.577035,0.023386
wing,2,sd7037,30,0.426577,0.577088,0.02187
wing,2,sd7037,31,0.425858,0.577136,0.020507
wing,2,sd7037,32,0.426052,0.577173,0.019458
wing,2,sd7037,33,0.427286,0.577201,0.01865
wing,2,sd7037,34,0.429524,0.577226,0.017948
wing,2,sd7037,35,0.432724,0.577245,0.017382
wing,2,sd7037,36,0.436854,0.57726,0.016958
wing,2,sd7037,37,0.441885,0.57727,0.016679
wing,2,sd7037,38,0.447769,0.577275,0.016535
wing,2,sd7037,39,0.454453,0.577276,0.016515
wing,2,sd7037,40,0.461871,0.577272,0.016605
wing,2,sd7037,41,0.469945,0.577266,0.016789
wing,2,sd7037,42,0.478587,0.577257,0.017047
wing,2,sd7037,43,0.487696,0.577246,0.017362
wing,2,sd7037,44,0.497169,0.577234,0.017718
wing,2,sd7037,45,0.506893,0.57722,0.018102
wing,2,sd7037,46,0.516755,0.577206,0.018502
wing,2,sd7037,47,0.526643,0.577192,0.018905
wing,2,sd7037,48,0.53644,0.577178,0.019299
wing,2,sd7037,49,0.546033,0.577165,0.019673
wing,2,sd7037,50,0.555309,0.577153,0.020012
wing,2,sd7037,51,0.564158,0.577143,0.020301
wing,2,sd7037,52,0.572464,0.577135,0.020525
wing,2,sd7037,53,0.580113,0.57713,0.020675
wing,2,sd7037,54,0.586999,0.577128,0.020752
wing,2,sd7037,55,0.593019,0.577127,0.020755
wing,2,sd7037,56,0.598082,0.577129,0.020701
wing,2,sd7037,57,0.60211,0.577133,0.020609
wing,2,sd7037,58,0.605039,0.577136,0.020502
wing,2,sd7037,59,0.606821,0.577139,0.020413
wing,2,sd7037,60,0.607418,0.577141,0.020375
wing,3,sd7037,0,0.607418,1.051316,0.037055
wing,3,sd7037,1,0.606919,1.051314,0.037118
wing,3,sd7037,2,0.60545,1.051306,0.037325
wing,3,sd7037,3,0.603074,1.051293,0.037709
wing,3,sd7037,4,0.599869,1.051273,0.038273
wing,3,sd7037,5,0.595925,1.051248,0.039001
wing,3,sd7037,6,0.59132,1.051218,0.039858
wing,3,sd7037,7,0.586129,1.051185,0.040798
wing,3,sd7037,8,0.580415,1.051151,0.041777
wing,3,sd7037,9,0.574235,1.051117,0.042748
wing,3,sd7037,10,0.567635,1.051084,0.043685
wing,3,sd7037,11,0.560677,1.051053,0.04458
wing,3,sd7037,12,0.55344,1.051024,0.045418
wing,3,sd7037,13,0.546007,1.050997,0.046183
wing,3,sd7037,14,0.538455,1.050973,0.046856
wing,3,sd7037,15,0.530865,1.050954,0.047417
wing,3,sd7037,16,0.523315,1.050939,0.047849
wing,3,sd7037,17,0.515884,1.050929,0.048136
wing,3,sd7037,18,0.508639,1.050924,0.048264
wing,3,sd7037,19,0.50165,1.050925,0.048226
wing,3,sd7037,20,0.494981,1.050933,0.048014
wing,3,sd7037,21,0.488688,1.050946,0.047629
wing,3,sd7037,22,0.482827,1.050966,0.047071
wing,3,sd7037,23,0.477448,1.050991,0.046348
wing,3,sd7037,24,0.472594,1.051022,0.04547
wing,3,sd7037,25,0.468299,1.051057,0.044448
wing,3,sd7037,26,0.464588,1.051098,0.043301
wing,3,sd7037,27,0.461481,1.051141,0.042057
wing,3,sd7037,28,0.458988,1.051187,0.040753
wing,3,sd7037,29,0.457119,1.051233,0.039439
wing,3,sd7037,30,0.455883,1.051277,0.038168
wing,3,sd7037,31,0.455281,1.051317,0.037024
wing,3,sd7037,32,0.455444,1.051348,0.036146
wing,3,sd7037,33,0.456479,1.051371,0.03547
wing,3,sd7037,34,0.458355,1.051392,0.034883
wing,3,sd7037,35,0.461037,1.051408,0.034411
wing,3,sd7037,36,0.464498,1.051421,0.03406
wing,3,sd7037,37,0.468713,1.051429,0.03383
wing,3,sd7037,38,0.473644,1.051433,0.033713
