surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.217418,0.0,2.002,True
wing,TE,0,0.607418,0.0,0.0,0.217418,0.0,2.002,True
wing,LE,1,0.40791,0.288574,0.010085,0.199508,0.28875,2.002,True
wing,TE,1,0.607418,0.28857,0.010198,0.199508,0.28875,2.002,True
wing,LE,2,0.42582,0.577148,0.020171,0.181598,0.5775,2.002,True
wing,TE,2,0.607418,0.577141,0.020375,0.181598,0.5775,2.002,True
wing,LE,3,0.45525,1.051327,0.036743,0.152169,1.051969,2.002,True
wing,TE,3,0.607418,1.051316,0.037055,0.152169,1.051969,2.002,True
wing,LE,4,0.46744,1.247738,0.043607,0.139979,1.2485,,True
wing,TE,4,0.607418,1.247726,0.043948,0.139979,1.2485,,True
vtail,LE,0,1.414321,0.0,0.0,0.118809,0.0,55.0,True
vtail,TE,0,1.53313,0.0,0.0,0.118809,0.0,55.0,True
vtail,LE,1,1.424658,0.128653,0.183736,0.108472,0.2243,,True
vtail,TE,1,1.53313,0.128653,0.183736,0.108472,0.2243,,True
winglet,LE,0,0.513135,1.247738,0.043607,0.094283,0.0,55.0,True
winglet,TE,0,0.607329,1.244378,0.04596,0.094283,0.0,55.0,True
winglet,LE,1,0.534157,1.295968,0.112486,0.092355,0.084086,,True
winglet,TE,1,0.626425,1.292676,0.114791,0.092355,0.084086,,True
