surface,station,airfoil,point,x_m,y_m,z_m
wing,0,sd7037,0,0.665,0.0,0.0
wing,0,sd7037,1,0.664098,-4e-06,0.000115
wing,0,sd7037,2,0.661444,-1.7e-05,0.000495
wing,0,sd7037,3,0.657152,-4.2e-05,0.001198
wing,0,sd7037,4,0.651363,-7.8e-05,0.002229
wing,0,sd7037,5,0.644238,-0.000124,0.003559
wing,0,sd7037,6,0.635919,-0.000179,0.005126
wing,0,sd7037,7,0.626541,-0.000239,0.006843
wing,0,sd7037,8,0.616218,-0.000302,0.008632
wing,0,sd7037,9,0.605053,-0.000364,0.010411
wing,0,sd7037,10,0.593129,-0.000424,0.012128
wing,0,sd7037,11,0.580559,-0.000481,0.013772
wing,0,sd7037,12,0.567482,-0.000535,0.015314
wing,0,sd7037,13,0.554051,-0.000584,0.016724
wing,0,sd7037,14,0.540406,-0.000628,0.017969
wing,0,sd7037,15,0.526692,-0.000664,0.01901
wing,0,sd7037,16,0.513049,-0.000693,0.019818
wing,0,sd7037,17,0.499621,-0.000712,0.020365
wing,0,sd7037,18,0.486528,-0.000721,0.020623
wing,0,sd7037,19,0.473897,-0.000719,0.020579
wing,0,sd7037,20,0.461844,-0.000707,0.020222
wing,0,sd7037,21,0.45047,-0.000683,0.019549
wing,0,sd7037,22,0.439877,-0.000649,0.018562
wing,0,sd7037,23,0.430153,-0.000604,0.017276
wing,0,sd7037,24,0.421378,-0.000549,0.015707
wing,0,sd7037,25,0.413612,-0.000485,0.013876
wing,0,sd7037,26,0.406902,-0.000413,0.011818
wing,0,sd7037,27,0.401281,-0.000335,0.009581
wing,0,sd7037,28,0.396771,-0.000253,0.007234
wing,0,sd7037,29,0.393388,-0.00017,0.004865
wing,0,sd7037,30,0.39115,-9e-05,0.002572
wing,0,sd7037,31,0.390058,-1.8e-05,0.000508
wing,0,sd7037,32,0.390349,3.8e-05,-0.00108
wing,0,sd7037,33,0.392217,8.1e-05,-0.002306
wing,0,sd7037,34,0.395605,0.000118,-0.003372
wing,0,sd7037,35,0.40045,0.000148,-0.004235
wing,0,sd7037,36,0.406704,0.000171,-0.004884
wing,0,sd7037,37,0.414321,0.000186,-0.005315
wing,0,sd7037,38,0.423231,0.000194,-0.005543
wing,0,sd7037,39,0.433354,0.000195,-0.005585
wing,0,sd7037,40,0.444588,0.000191,-0.005461
wing,0,sd7037,41,0.456814,0.000182,-0.005197
wing,0,sd7037,42,0.469901,0.000168,-0.004821
wing,0,sd7037,43,0.483695,0.000152,-0.004359
wing,0,sd7037,44,0.498042,0.000134,-0.003837
wing,0,sd7037,45,0.512768,0.000114,-0.003271
wing,0,sd7037,46,0.527704,9.4e-05,-0.002682
wing,0,sd7037,47,0.542677,7.3e-05,-0.002089
wing,0,sd7037,48,0.557514,5.3e-05,-0.001509
wing,0,sd7037,49,0.572042,3.4e-05,-0.000959
wing,0,sd7037,50,0.586089,1.6e-05,-0.000462
wing,0,sd7037,51,0.59949,1e-06,-3.8e-05
wing,0,sd7037,52,0.612068,-1e-05,0.000286
wing,0,sd7037,53,0.623651,-1.7e-05,0.0005
wing,0,sd7037,54,0.634079,-2.1e-05,0.000605
wing,0,sd7037,55,0.643195,-2.1e-05,0.000599
wing,0,sd7037,56,0.650862,-1.8e-05,0.000508
wing,0,sd7037,57,0.656962,-1.3e-05,0.000363
wing,0,sd7037,58,0.661398,-7e-06,0.000195
wing,0,sd7037,59,0.664095,-2e-06,5.8e-05
wing,0,sd7037,60,0.665,0.0,0.0
wing,1,sd7037,0,0.665,0.288574,0.010085
wing,1,sd7037,1,0.664123,0.28857,0.010198
wing,1,sd7037,2,0.661544,0.288557,0.010566
wing,1,sd7037,3,0.657371,0.288533,0.01125
wing,1,sd7037,4,0.651745,0.288498,0.012252
wing,1,sd7037,5,0.644819,0.288453,0.013545
wing,1,sd7037,6,0.636734,0.2884,0.015067
wing,1,sd7037,7,0.627619,0.288341,0.016737
wing,1,sd7037,8,0.617585,0.288281,0.018476
wing,1,sd7037,9,0.606733,0.28822,0.020204
wing,1,sd7037,10,0.595143,0.288162,0.021874
wing,1,sd7037,11,0.582925,0.288106,0.023471
wing,1,sd7037,12,0.570215,0.288054,0.02497
wing,1,sd7037,13,0.557161,0.288006,0.02634
wing,1,sd7037,14,0.543898,0.287964,0.02755
