surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.275,0.0,2.002,True
wing,TE,0,0.665,0.0,0.0,0.275,0.0,2.002,True
wing,LE,1,0.397707,0.288574,0.010085,0.267293,0.28875,2.002,True
wing,TE,1,0.665,0.288574,0.010085,0.267293,0.28875,2.002,True
wing,LE,2,0.419853,0.577148,0.020171,0.245147,0.5775,2.002,True
wing,TE,2,0.665,0.577148,0.020171,0.245147,0.5775,2.002,True
wing,LE,3,0.467716,0.875718,0.030606,0.197284,0.876253,2.002,True
wing,TE,3,0.665,0.875718,0.030606,0.197284,0.876253,2.002,True
wing,LE,4,0.528037,0.99939,0.034928,0.136963,1.0,,True
wing,TE,4,0.665,0.99939,0.034928,0.136963,1.0,,True
vtail,LE,0,1.53904,0.0,0.0,0.091904,0.0,51.452,True
vtail,TE,0,1.630944,0.0,0.0,0.091904,0.0,51.452,True
vtail,LE,1,1.54023,0.148007,0.185754,0.090714,0.237509,,True
vtail,TE,1,1.630944,0.148007,0.185754,0.090714,0.237509,,True
