surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.275,0.0,2.002,True
wing,TE,0,0.665,0.0,0.0,0.275,0.0,2.002,True
wing,LE,1,0.412724,0.424741,0.014844,0.252276,0.425,2.002,True
wing,TE,1,0.665,0.424741,0.014844,0.252276,0.425,2.002,True
wing,LE,2,0.472652,0.849481,0.029689,0.192348,0.85,2.002,True
wing,TE,2,0.665,0.849481,0.029689,0.192348,0.85,2.002,True
wing,LE,3,0.501831,0.955483,0.033393,0.163169,0.956066,2.002,True
wing,TE,3,0.665,0.955483,0.033393,0.163169,0.956066,2.002,True
wing,LE,4,0.528493,0.99939,0.034928,0.136507,1.0,,True
wing,TE,4,0.665,0.99939,0.034928,0.136507,1.0,,True
vtail,LE,0,1.553394,0.0,0.0,0.091088,0.0,51.499,True
vtail,TE,0,1.644482,0.0,0.0,0.091088,0.0,51.499,True
vtail,LE,1,1.55356,0.142635,0.179311,0.090921,0.229123,,True
vtail,TE,1,1.644482,0.142635,0.179311,0.090921,0.229123,,True
