surface,station,airfoil,point,x_m,y_m,z_m
wing,0,sd7037,0,0.665,0.0,0.0
wing,0,sd7037,1,0.664098,-9e-06,0.000115
wing,0,sd7037,2,0.661444,-3.7e-05,0.000494
wing,0,sd7037,3,0.657152,-8.9e-05,0.001196
wing,0,sd7037,4,0.651363,-0.000165,0.002224
wing,0,sd7037,5,0.644238,-0.000263,0.003552
wing,0,sd7037,6,0.635919,-0.000379,0.005115
wing,0,sd7037,7,0.626541,-0.000506,0.006829
wing,0,sd7037,8,0.616218,-0.000638,0.008614
wing,0,sd7037,9,0.605053,-0.00077,0.010389
wing,0,sd7037,10,0.593129,-0.000897,0.012103
wing,0,sd7037,11,0.580559,-0.001018,0.013743
wing,0,sd7037,12,0.567482,-0.001132,0.015281
wing,0,sd7037,13,0.554051,-0.001236,0.016688
wing,0,sd7037,14,0.540406,-0.001328,0.01793
wing,0,sd7037,15,0.526692,-0.001405,0.01897
wing,0,sd7037,16,0.513049,-0.001465,0.019776
wing,0,sd7037,17,0.499621,-0.001506,0.020322
wing,0,sd7037,18,0.486528,-0.001525,0.02058
wing,0,sd7037,19,0.473897,-0.001521,0.020536
wing,0,sd7037,20,0.461844,-0.001495,0.020179
wing,0,sd7037,21,0.45047,-0.001445,0.019507
wing,0,sd7037,22,0.439877,-0.001372,0.018523
wing,0,sd7037,23,0.430153,-0.001277,0.017239
wing,0,sd7037,24,0.421378,-0.001161,0.015673
wing,0,sd7037,25,0.413612,-0.001026,0.013847
wing,0,sd7037,26,0.406902,-0.000874,0.011793
wing,0,sd7037,27,0.401281,-0.000708,0.00956
wing,0,sd7037,28,0.396771,-0.000535,0.007218
wing,0,sd7037,29,0.393388,-0.00036,0.004854
wing,0,sd7037,30,0.39115,-0.00019,0.002567
wing,0,sd7037,31,0.390058,-3.8e-05,0.000507
wing,0,sd7037,32,0.390349,8e-05,-0.001078
wing,0,sd7037,33,0.392217,0.00017,-0.002301
wing,0,sd7037,34,0.395605,0.000249,-0.003365
wing,0,sd7037,35,0.40045,0.000313,-0.004226
wing,0,sd7037,36,0.406704,0.000361,-0.004873
wing,0,sd7037,37,0.414321,0.000393,-0.005304
wing,0,sd7037,38,0.423231,0.00041,-0.005532
wing,0,sd7037,39,0.433354,0.000413,-0.005573
wing,0,sd7037,40,0.444588,0.000404,-0.005449
